Title	Author	Year	Callnum
Analisis perbandingan metode coaching think aloud protocol dan silent condition terhadap goal dari user-centered design: studi kasus pada aplikasi clodeo	Arra Adidaya	2014	SK-1223
Pendeteksian gempa berbasiskan sensor accelerometer pada smartphone dengan pengolahan sinyal frekuensi dan pemelajaran mesin	Hafizh Kalamullah	2014	SK-1224
Algoritma load balance sederhana pada access point jaringan nirkabel IEEE 802.11G	Yahya Muhammad	2013	SK-1193
Analisis dampak knowledge sharing menggunakan knowledge management system pada efektivitas, efisiensi, dan inovasi: studi kasus Bank Indonesia	Rizal Pahlevi	2013	SK-1129
Analisis dan pengukuran tingkat kematangan dari pengimplementasian keamanan informasi: studi kasus perusahaan penyedia layanan telekomunikasi XYZ di Indonesia	Aina Kemala	2013	SK-1159
Analisis faktor kesuksesan dalam pengadopsian dan pengimplementasian sistem ERP di institusi penelitian: studi kasus badan tenaga nuklir nasional (BATAN)	Habibul Rafur	2013	SK-1215
Analisis faktor pengaruh kepuasan dan adopsi masyarakat terhadap implementasi e-government di kota Depok	Joyend	2013	SK-1157
Analisis faktor-faktor organisasi yang mendorong partisipasi pegawai dalam communities of practice  (COP) dan dampaknya terhadap kinerja individu, komunitas, dan organisasi : studi kasus PT PLN (PERSERO) distribusi Jakarta Raya dan Tangerang	Samuel Rizal Harahap	2013	SK-1149
Analisis faktor-faktor penerimaan computer-assited audit tools and techniques (CAATT) pada auditor eksternal menggunakan perluasan technology acceptance model (TAM)	Nina Meilatinova	2013	SK-1147
Analisis faktor-faktor yang mempengaruhi anggota komunitas virtual melakukan knowledge sharing: studi kasus komunitas online teknologi informasi di Indonesia	Arieffender Limupa	2013	SK-1150
Analisis faktor-faktor yang mempengaruhi kepercayaan konsumen terhadap e-commerce dan s-commerce di indonesia dan dampaknya terhadap keinginan konsumen untuk membeli serta word of mouth	Arfian Herbowo	2013	SK-1154
Analisis forecasting untuk data penjualan menggunakan metode simple moving average dan single exponental smoothing: studi kasus PT Guna Kemas Indah	Venezia Ryanka Sutrisno	2013	SK-1161
Analisis hubungan implementasi knowledge management terhadap peneliti pada lembaga penelitian : studi kasus Lembaga Penelitian : Studi Kasus Lembaga Ilmu Pengetahuan Indonesia (LIPI)	Radityo Shaddiqa	2013	SK-1103
Analisis hubungan kostomisasi sistem ERP dengan kesuksesan implementasinya : studi kasus PT. ABC	Dinur Rahmani Sadat	2013	SK-1104
Analisis hubungan strategi manajemen pengetahuan terhadap inovasi serta dampaknya pada kinerja usaha mikro kecil menengah di Indonesia	Dewangga Wisnu	2013	SK-1135
Analisis karakteristik cloud computing dan tingkat kematangan infrastruktur TI Universitas Indonesia	Arif ALhadi Putra	2013	SK-1108
Analisis karakteristik sistem pembayaran terhadap intensi perilaku konsumen untuk melakukan pembayaran online pada e-commerce si Indonesia	Luqman Syauqi Hidayat	2013	SK-1102
Analisis kesiapan jaringan universitas indonesia dalam implementasi voice over wireless local area network dengan pengamatan pada Fakultas Ilmu Komputer Universitas Indonesia	Ricky Artantio	2013	SK-1138
Analisis kinerja aplikasi klasifikasi support vector machine paralel pada lingkungan cluster dan graphics processing unit (GTX 465, GTX 470, GTX 560, dan QUADRO 4000)	Habiburrahman	2013	SK-1179
Analisis kinerja recurrent neural network, N-gram markov model, serta interpolasinya untuk membangun language model	Monica	2013	SK-1120
Analisis kinerja supply chain pada PT XYZ yang di dukung oleh sistem ABC dengan model SCOR, metode entropy, dan metode topsis	Dhea Junestya Pradipta	2013	SK-1213
Analisis knowledge management solutions dan implementasi knowledge management technology pada firma hukum: studi kasus firma hukum XYZ	Anggi Aida Budaya	2013	SK-1160
Analisis knowledge sharing bottlenect dengan menggunanak pendekatan social network analysis: studi kasus divisi IT/IS development PT X.	Kurnia Dara Mutia	2013	SK-1106
Analisis kualitas usr experience pada responsive web design dalam aspek informatif	RR. Devita Mira Lestari	2013	SK-1127
Analisis model manajemen inventori untuk perusahaan penyedia jasa konstruksi dan integrasi sistem: studi kasus PT Mitra Sinergi Adhitama	Stephanie Maria	2013	SK-1142
